"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2011,282,177,96,9,0,0,0,126,74,44,0,0,195,87,0
"Alabama","Clay",2011,118,57,61,0,0,0,0,88,67,52,0,0,0,118,0
"Alabama","Colbert",2011,279,189,89,1,0,0,0,101,63,44,0,0,187,92,0
"Alabama","DeKalb",2011,336,231,104,1,0,0,0,101,65,42,0,0,248,88,0
"Alabama","Elmore",2011,242,192,48,2,0,0,0,105,64,44,0,0,242,0,0
"Alabama","Etowah",2011,275,180,95,0,0,0,0,99,64,44,0,0,173,102,0
"Alabama","Houston",2011,283,181,102,0,0,0,0,100,67,46,0,0,192,91,0
"Alabama","Jefferson",2011,365,64,263,32,6,0,0,182,101,61,1,0,88,264,12
"Alabama","Lawrence",2011,95,52,43,0,0,0,0,84,63,46,0,0,0,95,0
"Alabama","Madison",2011,331,194,133,4,0,0,0,126,80,46,0,0,190,88,53
"Alabama","Mobile",2011,304,188,109,7,0,0,0,122,80,45,0,0,190,93,21
"Alabama","Montgomery",2011,278,158,118,2,0,0,0,108,77,48,0,0,173,105,0
"Alabama","Morgan",2011,280,169,109,2,0,0,0,115,74,46,0,0,191,89,0
"Alabama","Russell",2011,278,145,131,2,0,0,0,126,71,49,0,0,167,111,0
"Alabama","Shelby",2011,282,165,104,12,1,0,0,166,87,47,0,0,188,94,0
"Alabama","Sumter",2011,198,174,24,0,0,0,0,93,54,38,0,0,198,0,0
"Alabama","Talladega",2011,110,35,75,0,0,0,0,95,71,55,0,0,0,110,0
"Alabama","Tuscaloosa",2011,279,206,72,1,0,0,0,103,61,40,0,0,173,106,0
"Alabama","Walker",2011,107,43,64,0,0,0,0,86,69,53,0,0,0,107,0
