"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2012,123,86,37,0,0,0,0,80,58,37,0,0,0,117,6
"Aberdeen, WA","10140",2012,366,319,47,0,0,0,0,83,53,27,0,0,0,366,0
"Adjuntas, PR","10260",2012,77,72,5,0,0,0,0,70,48,24,0,0,0,77,0
"Adrian, MI","10300",2012,243,124,94,21,4,0,0,187,101,50,0,0,169,74,0
"Akron, OH","10420",2012,366,154,205,6,1,0,0,164,80,56,81,0,73,212,0
"Albany, GA","10500",2012,360,174,184,2,0,0,0,124,67,51,0,0,0,359,1
"Albany, OR","10540",2012,366,285,81,0,0,0,0,92,58,31,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2012,366,260,98,8,0,0,0,143,64,43,1,0,220,145,0
"Albuquerque, NM","10740",2012,366,65,276,23,1,1,0,291,97,63,0,1,190,152,23
"Alexandria, LA","10780",2012,362,62,300,0,0,0,0,90,70,57,0,0,0,362,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2012,366,95,254,16,1,0,0,151,84,58,0,3,72,290,1
"Altoona, PA","11020",2012,365,139,212,12,2,0,0,161,77,54,0,0,109,254,2
"Amarillo, TX","11100",2012,366,213,140,13,0,0,0,136,80,48,0,0,289,77,0
"Americus, GA","11140",2012,233,204,29,0,0,0,0,97,54,40,0,0,233,0,0
"Ames, IA","11180",2012,214,175,39,0,0,0,0,87,64,43,0,0,214,0,0
"Anchorage, AK","11260",2012,366,234,127,5,0,0,0,127,80,40,0,0,107,210,49
"Ann Arbor, MI","11460",2012,364,249,93,20,2,0,0,164,87,42,0,0,308,56,0
"Appleton, WI","11540",2012,366,194,160,11,1,0,0,182,78,49,0,0,154,212,0
"Ardmore, OK","11620",2012,348,131,199,18,0,0,0,147,87,55,0,0,139,209,0
"Arkadelphia, AR","11660",2012,309,274,34,1,0,0,0,133,54,35,0,0,309,0,0
"Asheville, NC","11700",2012,366,176,186,4,0,0,0,150,74,51,0,0,146,220,0
"Ashtabula, OH","11780",2012,213,150,54,7,2,0,0,179,87,44,0,0,213,0,0
"Athens, OH","11900",2012,55,34,21,0,0,0,0,72,61,45,0,0,0,55,0
"Athens, TN","11940",2012,225,225,0,0,0,0,0,44,29,14,0,195,0,0,30
"Athens-Clarke County, GA","12020",2012,366,169,191,5,1,0,0,153,70,52,0,0,87,279,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2012,366,44,294,19,8,1,0,218,97,65,0,0,108,258,0
"Atlantic City-Hammonton, NJ","12100",2012,356,246,101,7,2,0,0,154,64,41,0,0,228,128,0
"Augusta-Richmond County, GA-SC","12260",2012,366,133,227,5,1,0,0,151,72,53,0,0,65,301,0
"Augusta-Waterville, ME","12300",2012,308,297,11,0,0,0,0,90,44,29,0,94,196,0,18
"Austin-Round Rock, TX","12420",2012,366,178,180,6,2,0,0,172,77,51,0,1,145,220,0
"Bakersfield, CA","12540",2012,366,39,185,92,49,1,0,202,154,85,0,0,189,173,4
"Baltimore-Columbia-Towson, MD","12580",2012,366,103,228,27,7,1,0,204,100,59,0,3,143,220,0
"Bangor, ME","12620",2012,366,294,72,0,0,0,0,87,54,39,0,0,177,189,0
"Baraboo, WI","12660",2012,365,223,136,5,1,0,0,151,74,44,0,0,166,195,4
"Barnstable Town, MA","12700",2012,258,223,28,6,1,0,0,156,56,37,0,0,199,59,0
"Baton Rouge, LA","12940",2012,366,81,257,25,3,0,0,159,97,58,0,1,122,242,1
"Bay City, MI","13020",2012,119,83,36,0,0,0,0,87,61,36,0,0,0,119,0
"Beaumont-Port Arthur, TX","13140",2012,366,146,200,17,2,1,0,207,84,52,0,0,129,237,0
"Beaver Dam, WI","13180",2012,366,193,160,12,1,0,0,179,79,49,0,0,190,176,0
"Beckley, WV","13220",2012,121,72,49,0,0,0,0,68,59,44,0,0,0,121,0
"Bellingham, WA","13380",2012,351,330,21,0,0,0,0,97,42,26,0,0,100,251,0
"Bend-Redmond, OR","13460",2012,366,281,67,1,10,3,4,988,64,39,0,0,123,243,0
"Bennington, VT","13540",2012,366,286,79,1,0,0,0,108,56,39,0,0,185,181,0
"Berlin, NH-VT","13620",2012,365,267,94,4,0,0,0,108,67,45,0,0,363,2,0
"Billings, MT","13740",2012,362,303,59,0,0,0,0,95,54,23,0,0,0,362,0
"Birmingham-Hoover, AL","13820",2012,366,70,276,16,4,0,0,172,87,58,0,0,92,271,3
"Bishop, CA","13860",2012,366,198,139,15,4,2,8,4182,93,49,0,0,267,27,72
"Bismarck, ND","13900",2012,366,261,105,0,0,0,0,76,58,42,0,3,186,174,3
"Blacksburg-Christiansburg-Radford, VA","13980",2012,342,280,60,2,0,0,0,115,58,41,0,0,342,0,0
"Bloomington, IL","14010",2012,359,271,71,17,0,0,0,133,87,38,0,0,359,0,0
"Bloomington, IN","14020",2012,358,178,161,18,1,0,0,151,84,51,0,0,133,225,0
"Boise City, ID","14260",2012,366,251,104,8,2,1,0,215,71,42,6,19,202,64,75
"Boone, NC","14380",2012,120,82,38,0,0,0,0,70,55,42,0,0,0,120,0
"Boston-Cambridge-Newton, MA-NH","14460",2012,366,121,232,11,2,0,0,164,75,55,0,7,69,289,1
"Boulder, CO","14500",2012,359,185,139,31,4,0,0,172,100,50,0,0,331,27,1
"Bowling Green, KY","14540",2012,366,205,144,16,1,0,0,161,77,48,0,0,232,134,0
"Bozeman, MT","14580",2012,366,272,86,8,0,0,0,138,66,33,1,22,0,343,0
"Brainerd, MN","14660",2012,360,261,99,0,0,0,0,99,58,39,0,0,167,193,0
"Branson, MO","14700",2012,265,182,78,5,0,0,0,122,71,44,0,0,192,73,0
"Breckenridge, CO","14720",2012,123,119,4,0,0,0,0,64,31,12,0,0,0,0,123
"Bremerton-Silverdale, WA","14740",2012,317,275,42,0,0,0,0,72,52,25,0,0,0,317,0
"Bridgeport-Stamford-Norwalk, CT","14860",2012,366,194,143,19,10,0,0,179,90,50,0,10,156,199,1
"Brookings, SD","15100",2012,366,267,98,1,0,0,0,112,64,40,0,0,261,70,35
"Brownsville-Harlingen, TX","15180",2012,366,173,193,0,0,0,0,87,65,51,0,0,81,276,9
"Brunswick, GA","15260",2012,264,238,26,0,0,0,0,89,50,36,0,0,208,49,7
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2012,366,143,209,13,1,0,0,169,77,53,0,0,112,254,0
"Burlington, NC","15500",2012,361,195,166,0,0,0,0,90,61,49,0,0,0,361,0
"Burlington-South Burlington, VT","15540",2012,366,307,59,0,0,0,0,100,56,37,1,13,290,62,0
"Butte-Silver Bow, MT","15580",2012,363,225,125,8,5,0,0,183,80,39,0,0,0,327,36
"Cadillac, MI","15620",2012,366,284,64,18,0,0,0,147,71,38,0,0,333,33,0
"Cambridge, MD","15700",2012,365,253,94,14,3,1,0,208,73,41,5,0,282,78,0
"Canton-Massillon, OH","15940",2012,366,108,237,20,1,0,0,192,85,57,0,0,116,250,0
"Cape Coral-Fort Myers, FL","15980",2012,366,262,104,0,0,0,0,98,58,43,0,0,169,195,2
"Carlsbad-Artesia, NM","16100",2012,349,225,114,9,1,0,0,156,77,45,0,1,307,41,0
"Carson City, NV","16180",2012,207,122,78,7,0,0,0,112,80,48,0,0,207,0,0
"Casper, WY","16220",2012,365,307,57,1,0,0,0,103,56,31,0,116,184,60,5
"Ca¤on City, CO","15860",2012,57,56,1,0,0,0,0,54,30,15,0,0,0,0,57
"Cedar Rapids, IA","16300",2012,366,159,203,4,0,0,0,122,77,52,0,0,117,249,0
"Centralia, WA","16500",2012,366,314,51,1,0,0,0,106,54,28,0,0,0,366,0
"Chambersburg-Waynesboro, PA","16540",2012,273,213,59,1,0,0,0,115,67,40,0,0,273,0,0
"Champaign-Urbana, IL","16580",2012,366,273,85,8,0,0,0,136,77,41,0,0,317,49,0
"Charleston, WV","16620",2012,337,200,124,13,0,0,0,140,80,46,0,0,158,93,86
"Charleston-North Charleston, SC","16700",2012,366,148,217,1,0,0,0,134,66,52,0,1,34,331,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2012,366,100,240,22,3,1,0,206,93,55,0,0,136,230,0
"Charlottesville, VA","16820",2012,366,242,122,2,0,0,0,119,61,44,0,0,123,243,0
"Chattanooga, TN-GA","16860",2012,352,106,235,9,2,0,0,161,80,56,0,0,111,241,0
"Cheyenne, WY","16940",2012,366,225,139,2,0,0,0,108,74,47,0,7,305,53,1
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2012,366,21,295,39,10,1,0,206,115,66,0,10,81,258,17
"Chico, CA","17020",2012,366,116,219,23,8,0,0,199,97,57,0,0,184,182,0
"Cincinnati, OH-KY-IN","17140",2012,366,26,294,37,8,1,0,202,112,63,0,0,100,263,3
"Claremont-Lebanon, NH-VT","17200",2012,366,285,81,0,0,0,0,97,57,38,0,0,229,137,0
"Clarksburg, WV","17220",2012,115,56,59,0,0,0,0,86,61,51,0,0,0,115,0
"Clarksville, TN-KY","17300",2012,366,230,122,13,1,0,0,159,78,45,0,0,297,69,0
"Clearlake, CA","17340",2012,362,336,23,3,0,0,0,143,48,35,0,0,355,7,0
"Cleveland, MS","17380",2012,360,163,190,7,0,0,0,129,71,52,0,0,87,273,0
"Cleveland, TN","17420",2012,238,238,0,0,0,0,0,35,23,12,0,184,0,0,54
