T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Primary energy production (petajoules),"381,716",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2000,Primary energy production (petajoules),"412,282",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2005,Primary energy production (petajoules),"477,690",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2010,Primary energy production (petajoules),"530,871",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2015,Primary energy production (petajoules),"569,646",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2019,Primary energy production (petajoules),"613,709",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2020,Primary energy production (petajoules),"589,086",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2021,Primary energy production (petajoules),"609,909",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,762",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,016",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,205",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,365",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,297",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-21,031",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,193",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,230",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),299,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),"-2,938",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-215,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),-10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
