T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1975,Emissions (thousand metric tons of carbon dioxide),"16,042,405",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1985,Emissions (thousand metric tons of carbon dioxide),"19,348,135",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2005,Emissions (thousand metric tons of carbon dioxide),"26,638,238",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2010,Emissions (thousand metric tons of carbon dioxide),"30,044,215",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2015,Emissions (thousand metric tons of carbon dioxide),"31,468,477",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2019,Emissions (thousand metric tons of carbon dioxide),"32,852,354",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2020,Emissions (thousand metric tons of carbon dioxide),"31,239,043",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2021,Emissions (thousand metric tons of carbon dioxide),"33,147,028",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1975,Emissions per capita (Kilograms of carbon dioxide),3.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1985,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2005,Emissions per capita (Kilograms of carbon dioxide),4.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2010,Emissions per capita (Kilograms of carbon dioxide),4.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2015,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2019,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2020,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2021,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1975,Emissions (thousand metric tons of carbon dioxide),"319,039",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1985,Emissions (thousand metric tons of carbon dioxide),"609,132",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2005,Emissions (thousand metric tons of carbon dioxide),"933,728",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2010,Emissions (thousand metric tons of carbon dioxide),"1,091,787",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2015,Emissions (thousand metric tons of carbon dioxide),"1,196,865",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2019,Emissions (thousand metric tons of carbon dioxide),"1,341,546",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2020,Emissions (thousand metric tons of carbon dioxide),"1,225,195",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2021,Emissions (thousand metric tons of carbon dioxide),"1,298,787",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1975,Emissions per capita (Kilograms of carbon dioxide),0.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1985,Emissions per capita (Kilograms of carbon dioxide),1.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2005,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2010,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2015,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2019,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2020,Emissions per capita (Kilograms of carbon dioxide),0.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2021,Emissions per capita (Kilograms of carbon dioxide),0.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1975,Emissions (thousand metric tons of carbon dioxide),"4,840,300",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1985,Emissions (thousand metric tons of carbon dioxide),"4,946,639",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2005,Emissions (thousand metric tons of carbon dioxide),"6,315,585",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2010,Emissions (thousand metric tons of carbon dioxide),"5,863,367",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
