T27,Water supply and sanitation services,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",79.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",51.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",65.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",28.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",42.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, urban (Proportion of population with access)",80.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, rural (Proportion of population with access)",55.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, total (Proportion of population with access)",69.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",45.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, total (Proportion of population with access)",48.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, urban (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, rural (Proportion of population with access)",62.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed drinking water sources, total (Proportion of population with access)",72.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",49.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",45.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
1,"Total, all countries or areas",2022,"Safely managed sanitation facilities, total (Proportion of population with access)",56.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed drinking water sources, urban (Proportion of population with access)",78.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed drinking water sources, rural (Proportion of population with access)",57.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed drinking water sources, total (Proportion of population with access)",67.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed sanitation facilities, rural (Proportion of population with access)",36.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2006,"Safely managed sanitation facilities, total (Proportion of population with access)",45.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
