T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,290,901",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,816,593",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,633,612",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,440,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,483,570",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2021,GDP in current prices (millions of US dollars),"97,329,051",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2022,GDP in current prices (millions of US dollars),"100,834,796",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,450",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,293",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,541",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,161",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,905",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2021,GDP per capita (US dollars),"12,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2022,GDP per capita (US dollars),"12,647",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),"40,338,168",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),"56,485,238",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),"64,936,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),"75,440,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
1,"Total, all countries or areas",2020,GDP in constant 2015 prices (millions of US dollars),"82,306,867",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
