T14,Gross value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",65.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",36.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",29.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.0,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",31.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",35.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2022,"Agriculture, hunting, forestry and fishing (% of gross value added)",35.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,1995,Industry (% of gross value added),10.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2005,Industry (% of gross value added),21.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2010,Industry (% of gross value added),12.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2015,Industry (% of gross value added),9.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2020,Industry (% of gross value added),13.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2021,Industry (% of gross value added),15.0,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2022,Industry (% of gross value added),16.9,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,1995,Services (% of gross value added),23.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2005,Services (% of gross value added),42.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2010,Services (% of gross value added),58.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2015,Services (% of gross value added),68.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
4,Afghanistan,2020,Services (% of gross value added),55.0,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
