T03,Population growth and indicators of fertility and mortality,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,Population annual rate of increase (percent),1.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2010,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2010,"Under five mortality rate for both sexes (per 1,000 live births)",51.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",254,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2010,Life expectancy at birth for both sexes (years),70.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2010,Life expectancy at birth for males (years),67.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2010,Life expectancy at birth for females (years),72.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2015,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2015,Total fertility rate (children per women),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2015,"Under five mortality rate for both sexes (per 1,000 live births)",43.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",227,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),71.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2015,Life expectancy at birth for males (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2015,Life expectancy at birth for females (years),74.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2020,Population annual rate of increase (percent),0.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2020,"Under five mortality rate for both sexes (per 1,000 live births)",38.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2020,"Maternal mortality ratio (deaths per 100,000 population)",223,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2020,Life expectancy at birth for both sexes (years),71.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2020,Life expectancy at birth for males (years),69.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2020,Life expectancy at birth for females (years),74.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Population annual rate of increase (percent),0.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2024,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
